ProjectBuildingDWID|ProjectID|BuildingID|BoroID|Block|Lot|BIN|HouseNumber|StreetName|TotalBuildingUnits|BaseSquareFootage|Stories
41094|48794|806337|2|02284|0062|2091060|281|BROOK AVENUE|15|20401|5
42199|59|942001|3|02468|0001||11|BROADWAY|160|10208|14
42200|60|353351|3|00236|7502|3001825|59|PIERREPONT STREET|189||17
42201|62|231329|3|01127|0056|3027604|461|DEAN STREET|363|9644|32
42204|64|357481|3|01777|0015|3049568|248|PULASKI STREET|72||6
42205|65|79476|2|03258|0073|2015820|3400|FT INDEPENDENCE STREET|171||14
42210|68|691523|4|16129|0001|4457806|8000|SHORE FRONT PARKWAY|1758||12
42222|74|808459|3|01952|0016|3329903|255|GREENE AVENUE|150||7
41566|48644|948176|2|03070|0008|200000|600|EAST 181 STREET|108|9171|9
40714|48012|939257|2|03515|0040|200000|391|BRONX RIVER AVENUE|86|11802|8
41582|50156|948201|2|03013|0029|200000|1493|WEST FARMS ROAD|110|14181|9
41096|49338|944796|2|03013|0029|2094591|1512|BOONE AVENUE|127|11561|15
42029|50407|395827|3|03818|0033|3084957|486|WILLIAMS AVENUE|13|3098|5
42030|50407|395829|3|03818|0035|3084958|490|WILLIAMS AVENUE|13|3098|5
42031|50407|395830|3|03818|0037|3084959|496|WILLIAMS AVENUE|13|3098|5
42032|50407|395833|3|03818|0039|3084960|502|WILLIAMS AVENUE|13|3098|5
42033|50407|395834|3|03819|0013|3084972|503|WILLIAMS AVENUE|8|3280|3
42034|50407|395836|3|03818|0041|3084961|508|WILLIAMS AVENUE|16|3731|5
42035|50407|395840|3|03818|0043|3084962|514|WILLIAMS AVENUE|16|3731|5
42036|50407|395843|3|03818|0046|3084963|520|WILLIAMS AVENUE|16|3731|5
42037|50407|395844|3|03818|0049|3084964|526|WILLIAMS AVENUE|16|3731|5
42038|50407|809283|3|03818|0052|3084965|532|WILLIAMS AVENUE|16|3240|5
42040|50407|313104|3|03835|0016|3085395|523|HINSDALE STREET|4|1600|3
42041|50407|395849|3|03835|0028|3252666|542|WILLIAMS AVENUE|6|1760|4
42042|50407|395877|3|03835|0044|3085414|584|WILLIAMS AVENUE|9|2800|4
42043|50407|395846|3|03836|0025|3085432|535|WILLIAMS AVENUE|8|1773|3
42044|50407|809877|3|03836|0025|3394182|539|WILLIAMS AVENUE|2|1773|3
42045|50407|362337|3|03836|0026|3085433|520|RIVERDALE AVENUE|3|1350|3
42046|50407|949647|3|03836|0026|3085434|522|RIVERDALE AVENUE|3|1350|3
42047|50407|362339|3|03836|0030|3085436|526|RIVERDALE AVENUE|3|1350|3
42048|50407|183060|3|03837|0026|3085464|539|ALABAMA AVENUE|6|1833|4
42049|50407|807552|3|03837|0026|3085463|543|ALABAMA AVENUE|6|1833|4
42050|50407|807553|3|03837|0026|3085462|545|ALABAMA AVENUE|6|1833|4
42051|50407|353145|3|03822|0027|3085055|518|PENNSYLVANIA AVENUE|19|5160|5
42052|50407|234974|3|04065|0001|3090131|973|DUMONT AVENUE|19|3730|5
42099|50407|342753|3|04297|0003|3096325|332|NEW LOTS AVENUE|3|1073|4
42100|50407|808939|3|04297|0005|3331367|340|NEW LOTS AVENUE|6|2750|4
42101|50407|808942|3|04297|0005|3331370|348|NEW LOTS AVENUE|7|2750|4
42102|50407|362334|3|03834|0020|3085371|474|RIVERDALE AVENUE|12|2870|4
42103|50407|354251|3|04003|0129|3088969|2447|PITKIN AVENUE|6|2325|4
42104|50407|940975|3|04003|0029|3088965|2449|PITKIN AVENUE|6|2325|4
41668|50407|342748|3|03838|0068|3085511|325|NEW LOTS AVENUE|3|3680|3
41669|50407|342738|3|04296|0002|3096273|300|NEW LOTS AVENUE|3|1292|3
41670|50407|342739|3|04296|0003|3096274|302|NEW LOTS AVENUE|3|1292|3
41671|50407|342742|3|04296|0005|3096276|306|NEW LOTS AVENUE|3|1254|3
41672|50407|342744|3|04296|0007|3319734|310|NEW LOTS AVENUE|3|1059|4
41673|50407|342745|3|04296|0009|3319735|312|NEW LOTS AVENUE|10|3531|4
41676|50407|300002|3|04296|0032|3096300|692|GEORGIA AVENUE|3|926|3
41677|50407|342757|3|04297|0005|3096327|336|NEW LOTS AVENUE|3|5500|4
41678|50407|299970|3|04297|0071|3096380|653|GEORGIA AVENUE|2|694|3
41679|50407|299963|3|04297|0074|3096383|645|GEORGIA AVENUE|2|694|3
41680|50407|353190|3|03840|0003|3085552|611|PENNSYLVANIA AVENUE|15|3391|5
41681|50407|289096|3|03986|0001|3393458|335|ELTON STREET|16|7122|3
41682|50407|913572|3|03985|0005|3392546|336|ELTON STREET|24|7554|3
41683|50407|342523|3|03824|0005|3085074|633|NEW JERSEY AVENUE|4|1420|3
41684|50407|342526|3|03824|0001|3085071|641|NEW JERSEY AVENUE|6|2100|4
41685|50407|342533|3|03840|0035|3085571|660|NEW JERSEY AVENUE|3|900|4
41686|50407|342542|3|03841|0007|3085588|673|NEW JERSEY AVENUE|4|1716|3
41687|50407|362352|3|03840|0031|3085569|620|RIVERDALE AVENUE|3|1300|4
41688|50407|362349|3|03840|0029|3085567|614|RIVERDALE AVENUE|3|1300|4
41689|50407|328562|3|04262|0042|3095635|596|LOGAN STREET|6|1760|4
41690|50407|207683|3|04249|0018|3095391|970|BELMONT AVENUE|23|4177|5
41691|50407|207686|3|04249|0021|3095392|980|BELMONT AVENUE|16|3600|5
41692|50407|379928|3|04246|0038|3095335|1163|SUTTER AVENUE|22|6480|5
41693|50407|354170|3|03997|0133|3088845|2307|PITKIN AVENUE|3|1100|4
41694|50407|940976|3|04003|0030|3088966|2445|PITKIN AVENUE|1|4650|4
41695|50407|354165|3|03997|0037|3088844|2297|PITKIN AVENUE|10|3900|4
39252|44405|926971|3|02107|0024|3059171|250|ASHLAND PLACE|586|23700|52
41747|50205|97967|2|03777|0040|2025369|1265|MORRISON AVENUE|59|7655|6
41748|50205|65477|2|03866|0005|2027461|1585|EAST 172 STREET|49|7536|5
41749|50205|65478|2|03866|0001|2027460|1589|EAST 172 STREET|59|7904|5
41750|50205|111969|2|03777|0035|2025368|1268|STRATFORD AVENUE|59|7722|6
41751|50205|116780|2|02532|0020|2003534|1350|DR M L KING JR BOULEVARD|43|6602|5
41795|49173|946227|2|03318|0029|200000|2808|JEROME AVENUE|31|3184|7
41546|50181|948130|1|01538|0010|100000|203|EAST 92 STREET|231|19026|36
41623|50329|948333|1|01064|0044|100000|424|WEST 55 STREET|17|2633|7
42071|49690|949890|1|00862|0020|100000|160|MADISON AVENUE|319|306048|42
41552|49706|948157|3|02333|0001|300000|149|KENT AVENUE|164|40065|7
41834|45265|38124|1|01829|0039|1055159|204|WEST 114 STREET|70|125652|5
41839|45265|38135|1|01829|0050|1055170|226|WEST 114 STREET|98|124698|5
41039|49171|806372|2|02621|0001|2004388|955|CAULDWELL AVENUE|64|12276|5
41040|49171|806307|2|02621|0001|2004388|970|BOSTON ROAD|63|12276|5
41041|49171|64618|2|02632|0001|2004497|665|EAST 163 STREET|62|12276|5
41042|49171|113704|2|02621|0001|2004388|3250|3 AVENUE|63|10423|6
40471|48533|89497|2|02711|0006|2005618|916|KELLY STREET|17||4
40472|48533|89499|2|02711|0007|2005619|920|KELLY STREET|16||4
40473|48533|89500|2|02711|0008|2005620|924|KELLY STREET|8||4
40474|48533|89501|2|02711|0010|2005621|928|KELLY STREET|8||4
40475|48533|89503|2|02703|0018|2005453|935|KELLY STREET|32||5
43607|134|952514|4|12529|0230|400000|169-30|BAISLEY BOULEVARD|54|6656|8
43608|135|42693|1|02068|0074|1077383|458|WEST 155 STREET|98|5509|12
43609|136|120780|2|03360|0062|2000000|3556|WEBSTER AVENUE|79|14525|8
