ProjectBuildingDWID|ProjectID|BuildingID|BoroID|Block|Lot|BIN|HouseNumber|StreetName|TotalBuildingUnits|BaseSquareFootage|Stories
41161|47862|112023|2|02523|0150|2003424|1015|SUMMIT AVENUE|37|6150|6
41936|48909|947309|2|05141|1001|200000|2217|GIVAN AVENUE|101|8866|11
40594|44807|930774|4|09757|0018|400000|90-11|160 STREET|101|13899|9
41947|44249|927160|2|03146|0067|200000|2311|TIEBOUT AVENUE|20|3036|7
39890|45280|935092|2|02690|0034|200000|899|WESTCHESTER AVENUE|141|21195|8
39972|44241|927154|3|03183|0031|300000|62|TROUTMAN STREET|3||
40207|44241|927760|3|03229|0041|300000|11|DODWORTH STREET|3||
40208|44241|927761|3|03241|0001|300000|1132|DE KALB AVENUE|3||
40209|44241|927762|3|03265|0032|300000|84|STANHOPE STREET|3||
40210|44241|927763|3|03285|0071|300000|1175|GREENE AVENUE|3||
40211|44241|927764|3|03296|0058|300000|103|BLEECKER STREET|3||
40839|44241|942592|3|03342|0042|300000|205|PALMETTO STREET|3||
40840|44241|942593|3|03342|0043|300000|203|PALMETTO STREET|3||4
40860|44241|943257|3|03342|0041|300000|207|PALMETTO STREET|3||
40861|44241|943259|3|03241|0001|300000|1130|DE KALB AVENUE|3||
40488|48559|940441|1|01675|0011|100000|315|EAST 103 STREET|50||
41912|48559|804630|1|01675|0011|1079349|330|EAST 104 STREET|50||
40257|44366|927961|1|01645|0003|100000|110|EAST 118 STREET|87||
39880|45675|934659|2|03310|0029|200000|100|EAST 204 STREET|57|4926|9
41794|49481|946226|2|02370|0035|200000|3361|3 AVENUE|63|4628|7
40866|48746|353050|3|03738|0001|3083921|277|PENNSYLVANIA AVENUE|16|3240|4
40740|47652|939802|3|03589|0006|300000|203|RIVERDALE AVENUE|66|8940|6
40937|49067|64306|2|02360|0070|2001154|530|EAST 159 STREET|44|10000|6
42009|50602|808434|3|03061|0018|3325854|157|GRAHAM AVENUE|76|7281|5
42010|50602|331239|3|01648|0019|3045327|800|MADISON STREET|99|14634|4
42011|50602|231421|3|01130|0075|3027676|683|DEAN STREET|61|8389|3
42077|50414|66368|2|03133|0013|2013267|966|EAST 181 STREET|42|7303|5
42078|50414|118564|2|03134|0001|2013270|2134|VYSE AVENUE|38|7681|5
42079|50414|66360|2|03125|0012|2013180|908|EAST 181 STREET|54|10789|5
42080|50414|118550|2|03128|0029|2013233|2103|VYSE AVENUE|45|10482|5
42081|50414|66361|2|03128|0009|2013230|924|EAST 181 STREET|35|5723|5
42082|50414|66363|2|03128|0013|2013231|934|EAST 181 STREET|40|6698|5
42083|50414|118563|2|03129|0029|2013243|2131|VYSE AVENUE|20|5278|5
41953|49931|306590|3|01832|0066|3052241|117|HANCOCK STREET|2||4
39699|44812|928895|2|02693|0009|2098564|1224|PROSPECT AVENUE|59|16000|8
42130|49248|937485|N/A|N/A|N/A|N/A|N/A|N/A|39|4080|10
40988|47967|79712|2|02609|0039|2004215|1195|FULTON AVENUE|20||5
40801|47967|79714|2|02609|0037|2004214|1199|FULTON AVENUE|20||5
42226|77|19053|1|01654|0029|1052393|242|EAST 105 STREET|48||6
42235|84|4360|1|00749|0024|1083599|315|8 AVENUE|2820||21
42239|86|204866|3|06962|0011|3188214|3502|BAY VIEW AVENUE|147||2
42244|89|47748|2|04836|0001|2063301|3911|BARNES AVENUE|81||7
42245|61|374984|3|01227|0023|3030999|738|ST MARKS AVENUE|21|5160|4
42247|91|228500|3|01189|0060|3029715|49|CROWN STREET|320||33
42249|94|809873|3|07250|0001|3257105|2780|WEST 5 STREET|2585||24
42257|76|808096|3|02166|0001|3323170|64|DIVISION AVENUE|534||7
42258|76|808095|3|02166|0001|3323169|60|DIVISION AVENUE|||7
42259|76|809953|3|02166|0001|3323171|541|WYTHE AVENUE|||7
42260|76|808094|3|02166|0001|3323168|50|DIVISION AVENUE|||7
42261|76|948344|3|02168|7501|3343951|111|CLYMER STREET|||7
42262|76|807981|3|02168|7501|3343950|115|CLYMER STREET|||7
42263|78|110472|2|02272|0022|2000104|443|ST ANNS AVENUE|84||12
2406|43129|940244|1|01616|0049|1088912|64|EAST 111 ST|6|11337|12
38233|43187|379784|3|07029|0001|3189297|3811|SURF AVENUE|41||7
7758|43214|921730|1|01914|0122||121|WEST 129TH STREET|4|1249|4
