ProjectBuildingDWID,ProjectID,BuildingID,BoroID,Block,Lot,BIN,HouseNumber,StreetName,TotalBuildingUnits,BaseSquareFootage,Stories,Lat,Lon
40927,48681,340340,3,02835,0002,3069873,512,MORGAN AVENUE,8,1400,4,40.721711,-73.938273
40928,48681,375411,3,03031,0015,3327904,22,STAGG STREET,9,1977,3,40.708665,-73.949755
40899,49060,52764,2,02365,0026,2001202,873,BROOK AVENUE,20,5000,5,40.8227321,-73.9106736
40900,49060,95625,2,02384,0007,2001520,920,MELROSE AVENUE,4,2900,4,40.825147,-73.913048
40901,49060,64309,2,02419,0013,2001902,320,EAST 160 STREET,6,2475,4,40.824034,-73.916432
40902,49060,64260,2,02405,0013,2001758,370,EAST 159 STREET,4,2500,3,40.82302,-73.915522
40903,49060,64510,2,02408,0033,2001803,369,EAST 162 STREET,16,3352,5,40.8251796,-73.9143236
40919,48685,332710,3,01819,0008,3051453,817,MARCY AVENUE,4,2000,3,40.685623,-73.947021
40920,48685,317155,3,01835,0007,3052414,346,JEFFERSON AVENUE,9,4000,4,,
40921,48685,346837,3,01832,0050,3052225,466,NOSTRAND AVENUE,7,2757,4,40.6828982,-73.9503934
40922,48685,381637,3,01820,0004,3051468,351,TOMPKINS AVENUE,3,2500,4,40.685777,-73.944112
40923,48685,330794,3,01818,0086,3051446,223,MADISON STREET,8,3600,4,,
40924,48685,346832,3,01827,0060,3051874,456,NOSTRAND AVENUE,12,4000,4,40.6833676,-73.9505831
39702,44865,929205,2,03140,0001,200000,1041,EAST 179TH ST,65,3194,8,40.8416819,-73.8790321
40833,46264,942271,3,01859,0001,300000,33,ALBANY AVENUE,50,11540,10,40.6798125,-73.9384063
40829,48739,942254,1,00859,0069,100000,110,MADISON AVENUE,18,,,40.745077,-73.985282
41328,46262,941223,1,01846,0001,100000,240,MANHATTAN AVENUE,69,,3,40.801218,-73.9591949
41051,49273,944527,3,02732,0030,3068062,59,FROST STREET,47,6676,7,40.7178449,-73.949381
40486,48555,940434,3,02482,0026,300000,1133,MANHATTAN AVENUE,210,,5,40.73686,-73.955862
41786,49576,945948,2,04647,0074,200000,3639,WHITE PLAINS ROAD,69,12581,6,40.880362,-73.865399
40832,48743,942270,1,01171,0165,100000,21,WEST END AVENUE,616,38295,43,40.7724476,-73.9898882
41816,44420,946583,1,00405,0045,100000,535,EAST 11 STREET,46,3218,8,40.7278111,-73.9803011
41239,48690,744417,5,01020,0020,5110130,160,HEBERTON AVENUE,43,11102,4,40.636538,-74.131939
40842,49070,357675,3,01486,0025,3039818,1074,PUTNAM AVENUE,3,855,3,40.687345,-73.919108
40843,49070,359775,3,01653,0059,3045637,104,RALPH AVENUE,7,1680,4,40.686425,-73.923677
40844,49070,357669,3,01486,0020,3039813,1064,PUTNAM AVENUE,5,1625,3,40.687297,-73.919505
41427,49070,334864,3,01501,0026,3040340,706,MAC DONOUGH STREET,4,1313,3,40.683709,-73.918054
41436,49070,357634,3,01484,0047,3039736,1001,PUTNAM AVENUE,6,1300,4,40.687624,-73.920746
41439,49070,357677,3,01486,0027,3039820,1078,PUTNAM AVENUE,13,3805,4,40.687373,-73.918984
41445,49070,213832,3,01484,0015,3039725,1438,BROADWAY,9,1540,4,40.687959,-73.919815
40987,48677,58929,2,02329,0083,2091146,485,COURTLANDT AVENUE,12,7000,4,40.815044,-73.920547
40989,48677,806497,2,02329,0083,2091148,357,EAST 146 STREET,8,9400,4,40.8149703,-73.9207279
40991,48677,58933,2,02329,0072,2000874,515,COURTLANDT AVENUE,8,6400,4,40.815777,-73.920185
41913,48677,806394,2,02329,0083,2091145,483,COURTLANDT AVENUE,8,7000,4,40.8149405,-73.9202936
41250,47838,308509,3,01594,0039,3043084,340,HART STREET,2,800,2,40.694194,-73.937736
41251,47838,378847,3,01589,0047,3042950,22,STUYVESANT AVENUE,8,2100,4,40.695829,-73.934894
41252,47838,321654,3,01601,0068,3043233,375,KOSCIUSZKO STREET,4,1380,3,40.692164,-73.939704
41253,47838,321766,3,01607,0027,3043454,540,KOSCIUSZKO STREET,6,1620,4,40.692566,-73.932253
41254,47838,322621,3,01607,0068,3043486,981,LAFAYETTE AVENUE,3,1100,3,40.692221,-73.932869
41255,47838,322622,3,01607,0067,3043485,983,LAFAYETTE AVENUE,3,1100,3,40.692229,-73.932798
41256,47838,357508,3,01594,0065,3043098,315,PULASKI STREET,8,1695,4,40.693818,-73.938578
41257,47838,379255,3,01594,0003,3043067,143,MARCUS GARVEY BOULEVARD,7,1444,4,40.69371,-73.93988
41258,47838,322548,3,01606,0074,3043431,903,LAFAYETTE AVENUE,2,855,3,40.691792,-73.936337
41205,48689,36448,1,01217,0057,1032217,166,WEST 87 STREET,202,,,40.787934,-73.9740927
40329,48415,32960,1,00996,0014,1022613,127,WEST 43 STREET,281,,10,40.7561241,-73.9847552
41171,48765,85441,2,02749,0022,2006113,1050,HOE AVENUE,21,4000,5,40.824618,-73.890244
41172,48765,313693,3,01550,0036,3042159,186,HOPKINSON AVENUE,32,10000,4,40.670401,-73.913297
41173,48765,28118,1,01958,0054,1059439,432,ST NICHOLAS AVENUE,10,2490,5,40.814696,-73.948747
41174,48765,822049,2,02964,0029,2114127,825,EAST 170 STREET,80,40000,5,40.8334064,-73.8946471
41175,48765,24535,1,02038,0009,1060610,67,MACOMBS PLACE,34,6675,6,40.8270144,-73.9376035
41176,48765,28116,1,01958,0056,1059441,428,ST NICHOLAS AVENUE,11,3188,5,40.814583,-73.948831
41177,48765,85438,2,02749,0020,2006112,1046,HOE AVENUE,21,4000,5,40.824508,-73.890235
41178,48765,313692,3,01550,0031,3042158,178,HOPKINSON AVENUE,28,10000,4,40.670401,-73.913297
41179,48765,42524,1,02038,0007,1060609,259,WEST 152 STREET,24,5000,6,40.827028,-73.9379369
41180,48765,28117,1,01958,0055,1059440,430,ST NICHOLAS AVENUE,11,3188,5,40.814644,-73.948785
41286,48765,26937,1,01710,0026,1053086,307,PLEASANT AVENUE,17,3780,6,40.795553,-73.933184
41287,48765,19049,1,01655,0014,1052410,231,EAST 105 STREET,8,2523,4,40.790553,-73.943776
41288,48765,19048,1,01655,0013,1052409,229,EAST 105 STREET,8,2535,4,40.790587,-73.943854
41296,48765,19506,1,01643,0008,1052233,117,EAST 115 STREET,21,4423,6,40.79849,-73.942812
41303,48765,309680,3,04478,0001,3098665,996,HEGEMAN AVENUE,24,6600,4,40.666475,-73.875763
40814,47770,10596,1,00372,0019,1004359,292,EAST 3 STREET,7,,5,40.721082,-73.979817
40314,47824,49684,2,02879,0263,2009149,1898,BILLINGSLEY TERRACE,26,,5,40.853867,-73.916231
40311,47826,26271,1,01625,0071,1078908,1265,PARK AVENUE,10,,5,40.787481,-73.951419
40312,47826,18849,1,01628,0049,1051812,178,EAST 101 STREET,10,,6,40.788664,-73.948284
40313,47826,18848,1,01629,0030,1051847,177,EAST 101 STREET,38,,,40.788826,-73.947464
40050,44423,927243,3,03998,0006,300000,315,JEROME STREET,3,978,3,40.67409,-73.88667
40059,44423,927530,3,04035,0013,300000,525,LINWOOD STREET,12,3922,3,40.6724635,-73.8822088
40061,44423,927206,3,04026,0002,300000,371,VAN SICLEN AVENUE,8,2891,4,40.6706994,-73.8897968
40736,44423,939774,3,03998,0006,300000,317,JEROME STREET,3,958,3,40.6740169,-73.8869162
40737,44423,939775,3,03998,0006,300000,319,JEROME STREET,3,963,3,40.6739831,-73.8869071
40628,47822,38611,1,01717,0010,1053182,71,WEST 118 STREET,10,,3,40.803129,-73.947658
40629,47822,38612,1,01717,0009,1053181,73,WEST 118 STREET,10,,5,40.803158,-73.947737
40630,47822,38614,1,01717,0107,1053223,77,WEST 118 STREET,3,,5,40.803213,-73.947866
40631,47822,38617,1,01717,0005,1053177,83,WEST 118 STREET,4,,5,40.8032899,-73.948055
40632,47822,38563,1,01924,0008,1058415,273,WEST 118 STREET,10,,5,40.805597,-73.953528
40633,47822,38565,1,01924,0007,1058414,275,WEST 118 STREET,10,,5,40.80563,-73.9536059
40634,47822,38567,1,01924,0006,1058413,277,WEST 118 STREET,10,,5,40.805663,-73.953686
40635,47822,38569,1,01924,0005,1058412,279,WEST 118 STREET,10,,5,40.805697,-73.953763
40772,47822,3980,1,01924,0001,1058408,2190,FREDERICK DOUGLASS BOULEVARD,8,,5,40.8056868,-73.9541494
40655,47873,37822,1,01844,0055,1055730,60,WEST 109 STREET,30,,5,40.800621,-73.960769
40656,47873,37774,1,01863,0047,1056015,122,WEST 109 STREET,10,,5,40.8016459,-73.9628118
40659,47873,37776,1,01863,0049,1056017,126,WEST 109 STREET,30,,4,40.8015929,-73.963055
40651,47866,324898,3,01591,0040,3339157,72,LEWIS AVENUE,36,,5,40.6949672,-73.9375824
40654,47867,221554,3,01910,0052,3329837,249,CLASSON AVENUE,79,,6,40.6928604,-73.9606253
40316,48126,109776,2,02724,0005,2093935,975,SIMPSON STREET,59,,6,40.8223298,-73.8930147
40317,48126,92380,2,02757,0028,2006279,1075,LONGFELLOW AVENUE,46,,5,40.825416,-73.888058
